"","date","swe","swe_med","depth","prec_accum","prec_med","t_max","t_min","t_ave"
"1",2023-12-24,3.7,6.2,16,8.4,9.6,28,7,13.8
"2",2023-12-25,3.7,6.3,16,8.4,10,30.2,5.5,12.9
"3",2023-12-26,3.7,6.6,16,8.4,10.3,33.6,7.2,16.9
"4",2023-12-27,3.7,6.9,16,8.4,10.4,37.8,12.9,24.6
"5",2023-12-28,3.7,7,16,8.4,10.4,45.9,25.7,33.6
"6",2023-12-29,3.7,7,16,8.4,10.4,51.8,30.7,36.9
"7",2023-12-30,3.7,7,16,8.4,10.5,43.3,29.5,35.2
"8",2023-12-31,3.7,7,16,8.4,10.8,47.1,26.6,32.4
"9",2024-01-01,3.7,7,16,8.4,10.8,42.8,24.6,30
"10",2024-01-02,3.7,7,16,8.4,10.8,45.5,22.1,28
"11",2024-01-03,3.7,7,16,8.4,10.8,33.8,21.4,26.6
"12",2024-01-04,3.8,7,17,8.5,10.9,34.9,17.1,22.6
"13",2024-01-05,3.8,7,17,8.5,11.1,26.1,10.6,19.2
"14",2024-01-06,3.8,7,17,8.5,11.1,27.9,9.9,17.4
"15",2024-01-07,4.1,7.6,20,8.8,11.2,25.7,8.8,16.3
"16",2024-01-08,4.1,8.2,20,8.8,11.5,23.9,4.5,11.8
"17",2024-01-09,4.1,8.2,20,8.8,11.5,28,4.1,16.2
"18",2024-01-10,4.6,8.2,23,9,11.5,20.3,8.1,15.3
"19",2024-01-11,5.3,8.2,32,9.6,11.5,18.5,4.6,11.1
"20",2024-01-12,5.3,8.9,29,9.6,11.6,23.9,10.6,18.5
"21",2024-01-13,5.4,9,28,9.7,11.7,31.6,17.6,22.6
"22",2024-01-14,6.1,9,35,10.3,11.9,31.3,24.8,27
"23",2024-01-15,6.7,9,36,11.1,12,25.7,16.3,21
"24",2024-01-16,6.7,9.4,34,11.1,12.2,30.7,10.9,20.1
"25",2024-01-17,6.7,9.8,32,11.1,12.3,33.8,25,29.1
"26",2024-01-18,7.5,9.8,36,11.9,12.3,36.3,22.3,30
"27",2024-01-19,7.5,10,34,11.9,12.4,50.7,24.4,34.5
"28",2024-01-20,7.5,10.2,33,11.9,12.9,39.2,30.6,33.1
"29",2024-01-21,8.1,10.2,38,12.5,13.1,34.3,29.3,31.5
"30",2024-01-22,8.5,10.2,40,12.9,13.2,NA,NA,NA
